timestamp,driver_count,duplicates
2023-08-27T12:09:59.029+00:00,2,false
2023-08-27T12:12:57.704+00:00,20,false
2023-08-27T12:14:22.704+00:00,20,false
2023-08-27T12:10:40.004+00:00,5,false
2023-08-27T12:13:37.054+00:00,20,false
2023-08-27T12:12:21.554+00:00,20,false
2023-08-27T12:11:09.079+00:00,14,false
2023-08-27T12:11:29.229+00:00,19,false
2023-08-27T12:09:44.754+00:00,2,false
2023-08-27T12:10:29.779+00:00,5,false
2023-08-27T12:13:23.304+00:00,20,false
2023-08-27T12:12:52.404+00:00,20,false
2023-08-27T12:09:55.104+00:00,2,false
2023-08-27T12:09:18.529+00:00,1,false
2023-08-27T12:09:50.404+00:00,2,false
2023-08-27T12:10:09.629+00:00,3,false
2023-08-27T12:10:27.704+00:00,5,false
2023-08-27T12:12:09.104+00:00,20,false
2023-08-27T12:09:40.804+00:00,1,false
2023-08-27T12:12:37.729+00:00,20,false
2023-08-27T12:13:49.679+00:00,20,false
2023-08-27T12:11:14.479+00:00,15,false
2023-08-27T12:08:20.629+00:00,1,false
2023-08-27T12:10:21.104+00:00,5,false
2023-08-27T12:12:20.029+00:00,20,false
2023-08-27T12:14:03.954+00:00,20,false
2023-08-27T12:13:38.504+00:00,20,false
2023-08-27T12:08:41.629+00:00,1,false
2023-08-27T12:13:32.629+00:00,20,false
2023-08-27T12:11:30.404+00:00,19,false
2023-08-27T12:13:35.404+00:00,20,false
2023-08-27T12:10:46.629+00:00,6,false
2023-08-27T12:09:35.779+00:00,1,false
2023-08-27T12:08:59.904+00:00,1,false
2023-08-27T12:10:29.604+00:00,5,false
2023-08-27T12:08:21.604+00:00,1,false
2023-08-27T12:09:06.904+00:00,1,false
2023-08-27T12:13:12.304+00:00,20,false
2023-08-27T12:13:00.604+00:00,20,false
2023-08-27T12:09:56.729+00:00,2,false
2023-08-27T12:14:24.529+00:00,20,false
2023-08-27T12:14:45.479+00:00,20,false
2023-08-27T12:11:01.604+00:00,14,false
2023-08-27T12:12:03.504+00:00,20,false
2023-08-27T12:13:50.304+00:00,20,false
2023-08-27T12:10:34.779+00:00,5,false
2023-08-27T12:12:10.904+00:00,20,false
2023-08-27T12:14:25.254+00:00,20,false
2023-08-27T12:14:44.904+00:00,20,false
2023-08-27T12:11:20.754+00:00,17,false
2023-08-27T12:11:17.104+00:00,17,false
2023-08-27T12:09:19.754+00:00,1,false
2023-08-27T12:09:23.429+00:00,1,false
2023-08-27T12:09:28.529+00:00,1,false
2023-08-27T12:11:19.604+00:00,17,false
2023-08-27T12:11:56.029+00:00,20,false
2023-08-27T12:12:50.379+00:00,20,false
2023-08-27T12:14:16.429+00:00,20,false
2023-08-27T12:08:50.479+00:00,1,false
2023-08-27T12:10:43.879+00:00,6,false
2023-08-27T12:13:06.104+00:00,20,false
2023-08-27T12:13:25.629+00:00,20,false
2023-08-27T12:09:13.429+00:00,1,false
2023-08-27T12:13:07.704+00:00,20,false
